id,actorid_id,movieid_id
24774,nm0473814,tt1205537
24804,nm0004715,tt1490017
24805,nm0006969,tt1490017
24806,nm1555340,tt1490017
24807,nm0123262,tt1490017
24818,nm0000576,tt1321870
24819,nm0564697,tt1321870
24820,nm0931898,tt1321870
24821,nm2566469,tt1321870
24822,nm1024107,tt1321870
24823,nm0085312,tt1045778
24824,nm0148418,tt1045778
24825,nm0001624,tt1045778
24826,nm0189144,tt1045778
24827,nm2395586,tt1045778
24828,nm0000151,tt1057500
24829,nm0000354,tt1057500
24835,nm0654110,tt1135487
24836,nm0000210,tt1135487
24837,nm0929489,tt1135487
24838,nm0316079,tt1135487
24839,nm0197352,tt1135487
24860,nm0000142,tt2083383
24861,nm0743304,tt2083383
24862,nm0859403,tt2083383
24863,nm0491590,tt2083383
24864,nm0010736,tt2083383
24865,nm0000154,tt1226273
24866,nm0935653,tt1226273
24867,nm0396812,tt1226273
24868,nm0636942,tt1226273
24869,nm0731575,tt1226273
24880,nm0000134,tt1034331
24881,nm0000199,tt1034331
24882,nm1265067,tt1034331
24883,nm0001303,tt1034331
24884,nm0000491,tt1034331
24934,nm0268199,tt1837709
24935,nm0093589,tt1837709
24936,nm2189625,tt1837709
24937,nm1510059,tt1837709
24938,nm0404427,tt1837709
24939,nm2934314,tt1538403
24940,nm2570429,tt1538403
24941,nm0954225,tt1538403
24942,nm0922136,tt1538403
24943,nm1588066,tt1538403
24961,nm0000136,tt3045616
